Category,count
FAMILY,1512
GAME,832
TOOLS,626
PERSONALIZATION,276
LIFESTYLE,269
MEDICAL,266
FINANCE,258
PRODUCTIVITY,223
BUSINESS,222
SPORTS,221
PHOTOGRAPHY,204
HEALTH_AND_FITNESS,191
COMMUNICATION,188
SOCIAL,156
NEWS_AND_MAGAZINES,154
SHOPPING,146
TRAVEL_AND_LOCAL,141
BOOKS_AND_REFERENCE,141
DATING,122
VIDEO_PLAYERS,112
MAPS_AND_NAVIGATION,94
EDUCATION,88
FOOD_AND_DRINK,72
ENTERTAINMENT,64
AUTO_AND_VEHICLES,63
LIBRARIES_AND_DEMO,61
ART_AND_DESIGN,59
HOUSE_AND_HOME,50
WEATHER,50
COMICS,47
PARENTING,44
EVENTS,38
BEAUTY,37
